station,xCor,yCor
능곡,410.02197265625,908.354376845498
곡산,435.44970703125,970.690314345498
마두,376.18310546875,948.750861220498
정발산,343.26611328125,946.414923720498
주엽,341.38623046875,928.178595595498
대화,333.68310546875,909.940314345498
수유,818.7841796875,921.794806532998
개화산,174.43017578125,680.541876845498
방화,183.74853515625,703.043829970498
명일,1176.802734375,596.673712782998
굽은다리,1168.2177734375,575.951056532998
방이,1112.0458984375,439.468634657998
올림픽공원,1124.677734375,470.239142470498
둔촌동,1141.3798828125,510.935431532998
길동,1156.341796875,547.285040907998
한강진,721.888671875,556.328986220498
암사,1122.7470703125,592.064337782998
강동구청,1093.11328125,520.510626845498
몽촌토성,1072.669921875,474.184454970498
버티고개,730.138671875,589.628790907998
고려대,818.65234375,746.571173720498
월곡,842.6083984375,790.167853407998
별내,1073.3525390625,904.271369032998
퇴계원,1079.5029296875,919.403204970498
갈매,1067.08984375,889.134650282998
중곡,992.455078125,650.555548720498
어린이대공원,965.2236328125,584.944220595498
뚝섬유원지,940.240234375,524.738165907998
서강대,544.40478515625,604.415900282998
가좌,474.87451171875,673.947150282998
화서,786.673828125,167.558478407998
춘의,189.96142578125,436.651251845498
마천,1200.890625,396.767462782998
미아사거리,838.693359375,825.928595595498
신이문,915.4833984375,790.255744032998
서대문,617.80029296875,661.733283095498
공항시장,174.69189453125,656.892462782998
마장,866.2373046875,660.900275282998
신금호,798.2099609375,621.783087782998
동암,66.73779296875,388.909064345498
신림,528.52880859375,346.972540907998
응봉,836.1513671875,599.385626845498
한남,761.0576171875,524.294806532998
수색,433.33251953125,716.034064345498
강매,373.26513671875,776.101447157998
도림천,374.46142578125,467.206915907998
수내,1057.1875,171.872931532998
월드컵경기장,434.91650390625,670.331915907998
애오개,618.64697265625,600.283087782998
독립문,615.54541015625,687.480353407998
홍제,563.36279296875,739.832892470498
무악재,585.06494140625,717.968634657998
마포구청,442.48291015625,642.889533095498
망원,466.76416015625,615.600470595498
송파,1067.3837890625,406.314337782998
달월,391.17724609375,174.722540907998
월곶,368.54931640625,196.830939345498
소래포구,324.94677734375,200.094611220498
가양,316.37841796875,649.696173720498
증미,333.83251953125,632.241095595498
등촌,354.13818359375,611.931525282998
염창,374.53564453125,591.526251845498
신목동,391.84033203125,574.478400282998
국회의사당,491.31494140625,513.038947157998
샛강,529.53662109375,474.817267470498
남성,650.224609375,353.134650282998
숭실대입구,606.99755859375,396.360236220498
상도,582.73388671875,420.348517470498
역촌,513.59228515625,804.227423720498
증산,479.25244140625,714.661994032998
행당,827.62109375,622.271369032998
마포,577.66162109375,557.787970595498
여의나루,535.20556640625,515.331915907998
전대 · 에버랜드,1133.8779296875,191.776251845498
미금,1033.513671875,148.193244032998
서현,1069.720703125,184.304572157998
운동장 · 송림대,1085.1962890625,143.094611220498
김량장,1073.0263671875,130.926642470498
고진,1097.37109375,155.270392470498
보평,1109.5400390625,167.439337782998
둔전,1121.7158203125,179.614142470498
이매,1082.1708984375,196.842658095498
야탑,1094.107421875,208.774298720498
의정부시청,763.525390625,1195.9364080955
흥선,754.0322265625,1187.1121893455
의정부중앙,741.599609375,1174.679572158
동오,729.1669921875,1162.247931533
새말,716.7353515625,1149.822150283
경기도청북부청사,704.3095703125,1137.390509658
효자,691.8779296875,1124.958869033
곤제,679.4453125,1112.5262518455
어룡,667.0146484375,1100.0946112205
송산,654.5830078125,1087.6629705955
탑석,642.150390625,1075.2313299705
소요산,695.1904296875,1074.9500799705
동두천,708.080078125,1086.335822158
보산,719.466796875,1097.7215643455
동두천중앙,730.8525390625,1109.107306533
지행,742.23828125,1120.4930487205
덕정,753.625,1131.878790908
덕계,765.0107421875,1143.2645330955
양주,776.396484375,1154.650275283
녹양,787.7822265625,1166.0360174705
가능,799.16796875,1177.4227362205
의정부,810.5537109375,1188.808478408
길음,809.5703125,796.155158095498
성신여대입구,780.2861328125,766.864142470498
한성대입구,755.134765625,741.698126845498
외대앞,893.3125,768.133673720498
봉화산,1004.623046875,850.530158095498
선유도,420.40576171875,562.516486220498
한양대,870.9345703125,620.165900282998
뚝섬,872.4560546875,589.941290907998
아현,603.45166015625,619.026251845498
회현,668.2919921875,623.386603407998
효창공원앞,619.61669921875,564.120001845498
대흥,552.96044921875,575.104376845498
사평,771.16015625,419.057501845498
구룡,908.6630859375,353.679572157998
청담,880.724609375,489.621954970498
신대방삼거리,520.83837890625,402.906134657998
방배,726.423828125,330.424689345498
상일동,1223.048828125,624.595587782998
고덕,1189.466796875,610.685431532998
산성,1112.1953125,286.472540907998
남한산성입구,1129.3564453125,278.806525282998
대모산입구,948.701171875,368.616095595498
개화,134.14013671875,702.229376845498
화랑대,969.89453125,856.252814345498
제기동,826.6044921875,704.309454970498
거여,1160.64453125,394.444220595498
개통,1132.40625,406.144415907998
판교,1013.134765625,179.218634657998
청계산입구,896.7646484375,227.424689345498
영등포시장,450.46240234375,498.804572157998
노들,584.64404296875,439.882697157998
흑석,614.04833984375,427.701056532998
광나루,1041.4052734375,585.138556532998
장한평,927.87109375,653.272345595498
답십리,891.265625,668.458869032998
철산,337.34716796875,327.875861220498
광명사거리,293.54443359375,346.019415907998
천왕,249.76611328125,364.156134657998
상월곡,866.814453125,813.553595595498
돌곶이,891.8916015625,823.937384657998
상계,951.169921875,1003.8524237205
쌍문,837.916015625,956.943244032998
잠원,760.970703125,467.181525282998
신사,788.1005859375,478.480353407998
학동,821.87890625,466.749884657998
구반포,697.9912109375,401.402228407998
신반포,723.537109375,411.980353407998
신논현,807.81640625,420.348517470498
논현,792.5859375,455.389533095498
반포,763.39453125,444.073126845498
개포동,930.564453125,361.100470595498
학여울,933.36328125,397.143439345498
대치,917.599609375,388.319220595498
매봉,866.4755859375,367.144415907998
내방,707.8349609375,370.582892470498
삼성,918.3515625,440.471564345498
역삼,841.0107421875,408.435431532998
서초,750.373046875,370.896369032998
장승배기,536.31396484375,430.049689345498
낙성대,626.40673828125,332.879767470498
영등포,461.04052734375,458.420783095498
구일,343.32861328125,409.644415907998
개봉,308.59423828125,395.257697157998
오류동,273.85986328125,380.872931532998
양천구청,334.52880859375,453.083869032998
발곡,834.3466796875,1195.540900283
운서,93.04248046875,761.914923720498
동대입구,740.4033203125,624.902228407998
수진,1117.7939453125,218.481329970498
보문,788.666015625,723.642462782998
안암,817.7626953125,723.642462782998
백운,93.66845703125,377.459845595498
상왕십리,811.25,660.074103407998
용두,854.20703125,686.797736220498
구의,986.166015625,554.830939345498
신천,984.318359375,448.775275282998
종합운동장,940.2529296875,448.775275282998
서울대입구,580.71142578125,346.947150282998
신촌,545.37060546875,617.317267470498
이대,570.97314453125,617.317267470498
범골,794.1708984375,1209.6141424705
경전철의정부,772.9697265625,1217.1297674705
명동,690.70703125,630.343634657998
안국,688.5908203125,701.640509657998
경복궁,650.2666015625,701.622931532998
백석,396.83837890625,948.619025282998
상수,502.59423828125,579.300665907998
광흥창,526.09326171875,579.300665907998
서빙고,692.8486328125,476.945197157998
녹사평,688.814453125,533.394415907998
이태원,712.52734375,533.425665907998
광화문,658.2392578125,684.712775282998
양평,391.12060546875,509.469611220498
오목교,357.62060546875,509.469611220498
목동,328.52294921875,509.469611220498
신정,304.02099609375,509.469611220498
마곡,211.18603515625,634.402228407998
송정,177.66162109375,634.402228407998
공항화물청사,114.36181640625,769.425665907998
인천국제공항,138.61865234375,761.909064345498
신방화,187.66357421875,670.921759657998
마곡나루,214.43701171875,670.927619032998
양천향교,258.74072265625,670.927619032998
보라매,490.96337890625,402.128790907998
남구로,384.95166015625,363.186408095498
신풍,459.85595703125,401.985236220498
대방,512.42724609375,455.697150282998
종로5가,732.65625,680.297736220498
종각역,678.6318359375,666.136603407998
을지로입구,671.5244140625,645.907111220498
봉천,555.96044921875,346.947150282998
신대방,470.96630859375,349.451056532998
성균관대,755.7470703125,174.058478407998
의왕,740.9228515625,174.058478407998
당정,720.6689453125,174.058478407998
군포,700.357421875,174.058478407998
명학,619.59814453125,174.058478407998
안양,559.24267578125,174.058478407998
관악,499.18701171875,174.058478407998
인천논현,290.56884765625,200.068244032998
호구포,258.95947265625,200.068244032998
남동인더스파크,225.47802734375,207.582892470498
망월사,880.56640625,1202.6180487205
문정,1114.5576171875,358.958869032998
구산,487.33154296875,824.657111220498
지축,503.59033203125,945.919806532998
아차산,1007.25390625,602.568244032998
혜화,744.818359375,714.579962782998
금호,789.73046875,588.852423720498
신흥,1144.568359375,233.537970595498
독바위,547.10400390625,851.305548720498
도봉,862.060546875,1076.2645330955
방학,861.9228515625,1031.9285955955
태평,1089.6171875,249.269415907998
단대오거리,1144.9892578125,253.116095595498
장지,1114.5498046875,328.457892470498
가천대,1084.07421875,272.987189345498
세류,790.1748046875,130.305548720498
남영,657.6513671875,561.107306532998
숙대입구,662.0166015625,578.111212782998
구파발,503.65185546875,919.039923720498
응암,487.32470703125,776.088751845498
새절,487.32470703125,749.714728407998
압구정,798.9677734375,506.269415907998
창신,786.654296875,704.397345595498
신내,1045.71484375,828.295783095498
중랑,952.697265625,752.615119032998
면목,999.26171875,738.241095595498
사가정,999.26171875,709.262579970498
용마산,999.26171875,682.858283095498
청라국제도시,75.94482421875,746.301642470498
경인교대입구,74.43603515625,527.756720595498
계산,74.43603515625,560.668829970498
임학,74.43603515625,593.587775282998
박촌,74.43603515625,626.498908095498
귤현,74.43603515625,659.410040907998
검암,74.43603515625,728.094611220498
남태령,689.5791015625,304.240119032998
선바위,689.5791015625,288.983283095498
경마공원,689.5791015625,273.732306532998
대공원,689.5791015625,258.483283095498
과천,689.5791015625,243.225470595498
정부과천청사,689.5791015625,227.975470595498
인덕원,689.5791015625,212.719611220498
평촌,689.5791015625,197.469611220498
범계,689.5791015625,182.218634657998
문래,421.92138671875,477.684454970498
산본,675.26171875,140.589728407998
강남대,928.72265625,117.679572157998
캠퍼스타운,255.82861328125,140.408087782998
팔당,1087.2685546875,685.094611220498
용문,1222.787109375,685.094611220498
원덕,1207.76171875,685.094611220498
양평,1192.7373046875,685.094611220498
오빈,1177.7119140625,685.094611220498
아신,1162.6865234375,685.094611220498
국수,1147.6630859375,685.094611220498
신원,1132.6376953125,685.094611220498
양수,1117.61328125,685.094611220498
운길산,1102.587890625,685.094611220498
수,169.68896484375,178.408087782998
정왕,432.08642578125,139.995001845498
도,151.83935546875,178.408087782998
상동,137.62841796875,450.214728407998
신중동,166.74560546875,458.996954970498
부천시청,152.19677734375,466.887579970498
삼산체육관,123.09912109375,473.887579970498
굴포천,108.55126953125,459.887579970498
지석,944.1298828125,116.840704970498
어정,962.0048828125,116.840704970498
동백,979.87890625,116.840704970498
초당,997.751953125,116.840704970498
삼가,1015.626953125,116.840704970498
시청·용인대,1033.48828125,116.828986220498
명지대,1051.3642578125,117.254767470498
오리,1012.84765625,156.370001845498
죽전,995.2607421875,156.370001845498
보정,977.673828125,156.370001845498
구성,960.0869140625,156.370001845498
신갈,942.5009765625,156.370001845498
상갈,906.9404296875,156.370001845498
청명,888.966796875,156.370001845498
영통,870.9912109375,156.370001845498
망포,853.0166015625,156.370001845498
매탄권선,835.04296875,170.370001845498
수원시청,817.06640625,170.370001845498
교,799.09375,149.370001845498
수리산,655.2470703125,139.989142470498
대야미,632.93212890625,139.989142470498
반월,610.61669921875,139.989142470498
상록수,588.30224609375,139.989142470498
한대앞,565.98779296875,139.989142470498
중앙,543.67333984375,139.989142470498
고잔,521.35791015625,139.989142470498
초지,499.04345703125,139.989142470498
안산,476.72900390625,139.989142470498
진위,716.3916015625,92.6991034079983
서동탄,803.8662109375,92.6991034079983
세마,772.068359375,92.1844549704983
오산대,753.5107421875,92.6991034079983
오산,734.9560546875,92.6991034079983
송탄,697.83984375,92.6991034079983
서정리,679.2841796875,92.6991034079983
지제,660.7265625,92.6991034079983
평택,642.1689453125,92.6991034079983
성환,623.61279296875,92.6991034079983
직산,605.05615234375,92.6991034079983
두정,586.49951171875,92.6991034079983
천안,567.94189453125,92.6991034079983
봉명,549.38525390625,92.6991034079983
쌍용,530.82763671875,92.6991034079983
아산,512.27001953125,92.6991034079983
배방,493.71337890625,92.6991034079983
온양온천,475.15771484375,92.6991034079983
신창,456.60009765625,92.6991034079983
신길온천,454.43896484375,139.989142470498
국제업무지구,348.42626953125,140.402228407998
센트럴파크,322.21630859375,140.402228407998
인천대입구,299.88232421875,140.402228407998
지식정보단지,277.55517578125,140.402228407998
테크노파크,232.89404296875,140.402228407998
역곡,192.95556640625,378.883673720498
소사,180.21044921875,378.883673720498
부천,167.46533203125,378.883673720498
중동,154.72021484375,378.883673720498
송내,141.97607421875,378.883673720498
부개,129.22998046875,378.883673720498
문산,594.49658203125,994.948126845498
파주,577.49267578125,994.948126845498
월롱,560.48876953125,994.948126845498
금촌,543.48486328125,994.948126845498
금릉,526.48193359375,994.948126845498
운정,509.47802734375,994.948126845498
탄현,492.47412109375,994.948126845498
삼송,484.99560546875,948.601447157998
원흥,469.38818359375,948.601447157998
원당,453.78076171875,948.601447157998
화당,438.17431640625,948.601447157998
백마,441.46826171875,994.948126845498
풍산,458.47216796875,994.948126845498
일산,475.47509765625,994.948126845498
